rec lig
carlos_cd/KITH/PDB_Structures/2B8T 2UZ3
carlos_cd/MK01/PDB_Structures/4GSB 4ZZM
carlos_cd/MK14/PDB_Structures/5TCO 3QUD
carlos_cd/MP2K1/PDB_Structures/5HZE 3W8Q
carlos_cd/MP2K1/PDB_Structures/3W8Q 5HZE
carlos_cd/PGH1/PDB_Structures/1EQH 1PGG
carlos_cd/PGH1/PDB_Structures/2AYL 1PGG
carlos_cd/PGH2/PDB_Structures/6COX 5JW1
carlos_cd/PGH2/PDB_Structures/4RRZ 6COX
carlos_cd/PPARG/PDB_Structures/3CDP 3GBK
carlos_cd/PPARG/PDB_Structures/2VV3 2POB
carlos_cd/PPARG/PDB_Structures/2ZK1 2POB
carlos_cd/PPARG/PDB_Structures/2VV0 4L98
carlos_cd/PPARG/PDB_Structures/5DV3 2VV4
carlos_cd/PPARG/PDB_Structures/4EMA 5WQX
carlos_cd/PPARG/PDB_Structures/3NOA 5AZV
carlos_cd/PPARG/PDB_Structures/3WJ5 5DV6
carlos_cd/PPARG/PDB_Structures/4R6S 5DV8
carlos_cd/PPARG/PDB_Structures/4R6S 2VV2
carlos_cd/PPARG/PDB_Structures/3V9Y 3B0R
carlos_cd/PPARG/PDB_Structures/3V9Y 2HWR
carlos_cd/PPARG/PDB_Structures/3AN4 5DV6
carlos_cd/PPARG/PDB_Structures/2VV1 5GTN
carlos_cd/PPARG/PDB_Structures/3PO9 4R2U
carlos_cd/PPARG/PDB_Structures/2ZK5 5WR0
carlos_cd/PPARG/PDB_Structures/5DSH 4PWL
carlos_cd/PPARG/PDB_Structures/4XLD 4E4Q
carlos_cd/PPARG/PDB_Structures/3B0R 3PO9
carlos_cd/PPARG/PDB_Structures/5DWL 3X1H
carlos_cd/PYGM/PDB_Structures/3BCR 4YUA
carlos_cd/PYGM/PDB_Structures/3BCR 1UZU
carlos_cd/PYGM/PDB_Structures/3BCR 3BDA
carlos_cd/PYGM/PDB_Structures/1UZU 4Z5X
carlos_cd/PYGM/PDB_Structures/4Z5X 4YUA
carlos_cd/PYGM/PDB_Structures/4Z5X 1UZU
carlos_cd/PYGM/PDB_Structures/3BDA 3BCU
carlos_cd/PYGM/PDB_Structures/3BDA 4Z5X
carlos_cd/PYGM/PDB_Structures/3BDA 1UZU
carlos_cd/PYGM/PDB_Structures/4YUA 3BDA
carlos_cd/PYGM/PDB_Structures/4YUA 3BD7
carlos_cd/PYGM/PDB_Structures/3BD7 3BCU
carlos_cd/PYGM/PDB_Structures/3BCU 4Z5X
carlos_cd/THRB/PDB_Structures/2ZF0 2ZHQ
carlos_cd/THRB/PDB_Structures/1DWE 1NU7
carlos_cd/THRB/PDB_Structures/1YPM 2ZIQ
carlos_cd/THRB/PDB_Structures/2UUK 2ZGB
carlos_cd/THRB/PDB_Structures/2ZGB 1AIX
carlos_cd/THRB/PDB_Structures/2ZGB 5JZY
carlos_cd/THRB/PDB_Structures/1AI8 1GHX
carlos_cd/THRB/PDB_Structures/1AI8 2UUJ
carlos_cd/THRB/PDB_Structures/2ZHF 2ZFQ
carlos_cd/TRY1/PDB_Structures/3A83 1TX8
carlos_cd/TRY1/PDB_Structures/3A80 3A7W
carlos_cd/TRY1/PDB_Structures/1C2K 3PLP
carlos_cd/TRY1/PDB_Structures/1O3N 3UQO
carlos_cd/TRY1/PDB_Structures/3A82 1O3O
carlos_cd/TRY1/PDB_Structures/1O2M 2FX4
carlos_cd/TRY1/PDB_Structures/2TGD 1O3O
carlos_cd/TRYB1/PDB_Structures/1A0L 2GDD
carlos_cd/TRYB1/PDB_Structures/1A0L 2FWW
carlos_cd/TRYB1/PDB_Structures/2FWW 2GDD
carlos_cd/TRYB1/PDB_Structures/2FWW 1A0L
carlos_cd/TRYB1/PDB_Structures/2GDD 2FWW
carlos_cd/TRYB1/PDB_Structures/2GDD 1A0L
carlos_cd/TYSY/PDB_Structures/1F4D 3B9H
carlos_cd/TYSY/PDB_Structures/1F4D 1SYN
carlos_cd/TYSY/PDB_Structures/3B9H 1F4D
carlos_cd/TYSY/PDB_Structures/3B9H 1SYN
carlos_cd/TYSY/PDB_Structures/1SYN 3B9H
carlos_cd/TYSY/PDB_Structures/1SYN 1F4D
